noun,support,len,variation
ii,i,2,1
bengali,bengali,7,1
atrabílis,atrabílis,9,1
ébola,ébola,5,1
medrincas,medrincas,9,1
acelerando,acelerando,10,1
alvíssaras,alvíssaras,10,1
lárias,lárias,6,1
vedalhas,vedalhas,8,1
rilhafoles,rilhafoles,10,1
grevas,grevas,6,1
vulgata,vulgata,7,1
lóquios,lóquios,7,1
vectrices,vectrices,9,1
antecos,antecos,7,1
lúpus,lúpus,5,1
palmarés,palmarés,8,1
lápis,lápis,5,1
generalitat,generalitat,11,1
mandarino,mandarino,9,1
meças,meças,5,1
bónus,bónus,5,1
neurobiologia,neurobiologia,13,1
lândoas,lândoas,7,1
leasing,leasing,7,1
teres,teres,5,1
supormos,supormos,8,1
gertrudes,gertrudes,9,1
bluff,bluff,5,1
frigidez,frigidez,8,1
audiotexto,audiotexto,10,1
ram,ram,3,1
blues,blues,5,1
xurumbambos,xurumbambos,11,1
maturangas,maturangas,10,1
ll,l,2,1
cárus,cárus,5,1
endes,endes,5,1
durez,durez,5,1
quadríceps,quadríceps,10,1
germânico,germânico,9,1
penetrais,penetrais,9,1
flandres,flandres,8,1
áxis,áxis,4,1
púnico,púnico,6,1
grameiras,grameiras,9,1
cartismo,cartismo,8,1
pénis,pénis,5,1
lócus,lócus,5,1
esplendidez,esplendidez,11,1
capitulares,capitulares,11,1
xx,x,2,1
aq,aq,2,1
pp,p,2,1
flirt,flirt,5,1
dublás,dublás,6,1
alcoometria,alcoometria,11,1
zambozinos,zambozinos,10,1
alcoolometria,alcoolometria,13,1
grafiti,grafiti,7,1
dubiez,dubiez,6,1
hidropúlvis,hidropúlvis,11,1
gigantez,gigantez,8,1
litotes,litotes,7,1
crípton,crípton,7,1
ex,ex,2,1
comúns,comúns,6,1
torduscas,torduscas,9,1
valdevinos,valdevinos,10,1
descritivos,descritivos,11,1
endoenças,endoenças,9,1
yy,y,2,1
bílis,bílis,5,1
terminus,terminus,8,1
sapidez,sapidez,7,1
aquarium,aquarium,8,1
caganifrates,caganifrates,12,1
penates,penates,7,1
lividez,lividez,7,1
hércules,hércules,8,1
frâncico,frâncico,8,1
pequenitates,pequenitates,12,1
esponsórios,esponsórios,11,1
esponsálias,esponsálias,11,1
esponsais,esponsais,9,1
rapalhas,rapalhas,8,1
inlandsis,inlandsis,9,1
amburbiais,amburbiais,10,1
log,log,3,1
pélvis,pélvis,6,1
hh,h,2,1
tuas,tuas,4,1
neptunais,neptunais,9,1
paparicos,paparicos,9,1
carvalhadas,carvalhadas,11,1
comenos,comenos,7,1
alegras,alegras,7,1
sordidez,sordidez,8,1
laudes,laudes,6,1
casadinhos,casadinhos,10,1
pantalonas,pantalonas,10,1
sorites,sorites,7,1
revigoramento,revigoramento,13,1
arrais,arrais,6,1
dimissórias,dimissórias,11,1
encospas,encospas,8,1
ageometria,ageometria,10,1
alegro,alegro,6,1
tt,t,2,1
consanguinidade,consanguinidade,15,1
pâncreas,pâncreas,8,1
fitoplancto,fitoplancto,11,1
fixidez,fixidez,7,1
pentecostes,pentecostes,11,1
cútis,cútis,5,1
dz,d,2,1
mimansa,mimansa,7,1
flacidez,flacidez,8,1
ocultas,ocultas,7,1
brutitates,brutitates,10,1
dionísias,dionísias,9,1
qq,q,2,1
encóspias,encóspias,9,1
remake,remake,6,1
falripas,falripas,8,1
líbido,líbido,6,1
cós,cós,3,1
mor,mor,3,1
praxis,praxis,6,1
fuel,fuel,4,1
dionisíacas,dionisíacas,11,1
comes,comes,5,1
fitoplâncton,fitoplâncton,12,1
tortelos,tortelos,8,1
bruços,bruços,6,1
alectriomância,alectriomância,14,1
dinoceras,dinoceras,9,1
alectoromaquia,alectoromaquia,14,1
absurdeza,absurdeza,9,1
esconsas,esconsas,8,1
absurdez,absurdez,8,1
escondidas,escondidas,10,1
milongas,milongas,8,1
revezes,revezes,7,1
chambas,chambas,7,1
brutamontes,brutamontes,11,1
chamborgas,chamborgas,10,1
aglutinogénio,aglutinogénio,13,1
farniente,farniente,9,1
cantabile,cantabile,9,1
apartheid,apartheid,9,1
ferrinhos,ferrinhos,9,1
desoras,desoras,7,1
vindemiais,vindemiais,10,1
rom,rom,3,1
desonradez,desonradez,10,1
menos,menos,5,1
tróculos,tróculos,8,1
messias,messias,7,1
rudez,rudez,5,1
nones,nones,5,1
fecundez,fecundez,8,1
mesquinhez,mesquinhez,10,1
alocarpia,alocarpia,9,1
piegas,piegas,6,1
rubidez,rubidez,7,1
equírias,equírias,8,1
adão,adão,4,1
ársis,ársis,5,1
ceca,ceca,4,1
antíscios,antíscios,9,1
romani,romani,6,1
rético,rético,6,1
adquiridos,adquiridos,10,1
feedback,feedback,8,1
gambadonas,gambadonas,10,1
magrez,magrez,6,1
guines,guines,6,1
handball,handball,8,1
tanas,tanas,5,1
handicap,handicap,8,1
redúvias,redúvias,8,1
pieguinhas,pieguinhas,10,1
gambadonos,gambadonos,10,1
ráquis,ráquis,6,1
pires,pires,5,1
bíceps,bíceps,6,1
cm,cm,2,1
antípodes,antípodes,9,1
antípodas,antípodas,9,1
bradados,bradados,8,1
clítoris,clítoris,8,1
galimatias,galimatias,10,1
eros,eros,4,1
fácies,fácies,6,1
gaélico,gaélico,7,1
candidez,candidez,8,1
guericke,guericke,8,1
dares,dares,5,1
inculcas,inculcas,8,1
malabarico,malabarico,10,1
través,través,6,1
vernes,vernes,6,1
sir,sir,3,1
datúreas,datúreas,8,1
ourives,ourives,7,1
mais,mais,4,1
deficit,deficit,7,1
jocos,jocos,5,1
vintage,vintage,7,1
jj,j,2,1
candeiolas,candeiolas,10,1
cambras,cambras,7,1
déficit,déficit,7,1
adónis,adónis,6,1
lé,lé,2,1
bordéus,bordéus,7,1
ademães,ademães,7,1
ademanes,ademanes,8,1
além,além,4,1
sémis,sémis,5,1
oásis,oásis,5,1
profundas,profundas,9,1
madras,madras,6,1
juvenais,juvenais,8,1
súmeas,súmeas,6,1
decoerência,decoerência,11,1
estolidez,estolidez,9,1
emboras,emboras,7,1
cavites,cavites,7,1
decrepidez,decrepidez,10,1
justizmord,justizmord,10,1
símplices,símplices,9,1
apanhada,apanhada,8,1
coblenciano,coblenciano,11,1
garafunhos,garafunhos,10,1
cocarinhas,cocarinhas,10,1
pingolas,pingolas,8,1
gurupés,gurupés,7,1
garanganja,garanganja,10,1
madurês,madurês,7,1
cavalitas,cavalitas,9,1
ganimedes,ganimedes,9,1
prolegómenos,prolegómenos,12,1
roqueford,roqueford,9,1
almagesto,almagesto,9,1
ronga,ronga,5,1
ha,ha,2,1
judas,judas,5,1
vessas,vessas,6,1
kirsch,kirsch,6,1
kitsch,kitsch,6,1
decadismo,decadismo,9,1
aspergues,aspergues,9,1
kj,kj,2,1
feros,feros,5,1
kl,kl,2,1
km,km,2,1
macua,macua,5,1
sisudez,sisudez,7,1
ráptus,ráptus,6,1
kV,kV,2,1
kW,kW,2,1
kWh,kWh,3,1
kk,kk,2,1
candideza,candideza,9,1
acutilância,acutilância,11,1
almorreimas,almorreimas,11,1
record,record,6,1
mesma,mesma,5,1
gulag,gulag,5,1
mesmo,mesmo,5,1
magnífica,magnífica,9,1
kc,kc,2,1
almorróidas,almorróidas,11,1
cc,c,2,1
kelvin,kelvin,6,1
magnificat,magnificat,10,1
kg,kg,2,1
kgm,kgm,3,1
cócoras,cócoras,7,1
kilovolt,kilovolt,8,1
kilowatt,kilowatt,8,1
cócaras,cócaras,7,1
janeanes,janeanes,8,1
apegadas,apegadas,8,1
fetidez,fetidez,7,1
gag,gag,3,1
cata,cata,4,1
imortais,imortais,8,1
bombachas,bombachas,9,1
afã,afã,3,1
venerais,venerais,8,1
vénus,vénus,5,1
press,press,5,1
voadeiras,voadeiras,9,1
voadoiros,voadoiros,9,1
voadouros,voadouros,9,1
acidez,acidez,6,1
oo,o,2,1
reataduras,reataduras,10,1
perto,perto,5,1
pertos,pertos,6,1
mexidos,mexidos,7,1
altibaixos,altibaixos,10,1
lambaças,lambaças,8,1
própolis,própolis,8,1
altimetria,altimetria,10,1
cuviniano,cuviniano,9,1
prós,prós,4,1
envés,envés,5,1
acém,acém,4,1
gaias,gaias,5,1
antidoping,antidoping,10,1
pagastinas,pagastinas,10,1
antidiabetes,antidiabetes,12,1
gaguez,gaguez,6,1
grutescos,grutescos,9,1
farta,farta,5,1
fidéus,fidéus,6,1
lupercais,lupercais,9,1
próximo,próximo,7,1
deltacismo,deltacismo,10,1
deltoto,deltoto,7,1
sagez,sagez,5,1
perpétuas,perpétuas,9,1
íris,íris,4,1
transcendental,transcendental,14,1
imbricados,imbricados,10,1
solidez,solidez,7,1
paleogénico,paleogénico,11,1
lues,lues,4,1
janeiras,janeiras,8,1
rispidez,rispidez,8,1
brócolos,brócolos,8,1
práxis,práxis,6,1
filandras,filandras,9,1
múseas,múseas,6,1
anticlímax,anticlímax,10,1
personadas,personadas,10,1
persona,persona,7,1
delirium,delirium,8,1
simples,simples,7,1
afazeres,afazeres,8,1
anticlimax,anticlimax,10,1
nebulium,nebulium,8,1
safões,safões,6,1
cannabis,cannabis,8,1
continuum,continuum,9,1
proterozóico,proterozóico,12,1
braile,braile,6,1
bebas,bebas,5,1
bebedanas,bebedanas,9,1
clomipramina,clomipramina,12,1
catering,catering,8,1
rv,r,2,1
bebedolas,bebedolas,9,1
ós,ó,2,1
alpondras,alpondras,9,1
clímax,clímax,6,1
adustez,adustez,7,1
bonitice,bonitice,8,1
ladários,ladários,8,1
viés,viés,4,1
alpes,alpes,5,1
antivírus,antivírus,9,1
pág,pág,3,1
indúcias,indúcias,8,1
sinópticos,sinópticos,10,1
piadão,piadão,6,1
russianas,russianas,9,1
cambaritas,cambaritas,10,1
cambaretas,cambaretas,10,1
singelez,singelez,8,1
catiano,catiano,7,1
rustiquez,rustiquez,9,1
bootes,bootes,6,1
ff,f,2,1
acridez,acridez,7,1
boomerang,boomerang,9,1
boom,boom,4,1
contragosto,contragosto,11,1
jeremias,jeremias,8,1
coisíssima,coisíssima,10,1
trapes,trapes,6,1
acolitato,acolitato,9,1
acolitado,acolitado,9,1
deuterocanónicos,deuterocanónicos,16,1
léxis,léxis,5,1
canguinhas,canguinhas,10,1
cenozóico,cenozóico,9,1
soeiras,soeiras,7,1
calçotas,calçotas,8,1
helix,helix,5,1
centaurina,centaurina,10,1
gatimanhos,gatimanhos,10,1
barbiças,barbiças,8,1
mach,mach,4,1
robótica,robótica,8,1
alquermes,alquermes,9,1
bebes,bebes,5,1
alheio,alheio,6,1
metatórax,metatórax,9,1
acores,acores,6,1
multimedia,multimedia,10,1
mulhericas,mulhericas,10,1
verdadinha,verdadinha,10,1
antinódoas,antinódoas,10,1
jeans,jeans,5,1
cenomaniano,cenomaniano,11,1
triquestroques,triquestroques,14,1
robustez,robustez,8,1
esbeltez,esbeltez,8,1
calvez,calvez,6,1
perestroika,perestroika,11,1
pinguinhas,pinguinhas,10,1
aramaico,aramaico,8,1
molancas,molancas,8,1
tomares,tomares,7,1
abafas,abafas,6,1
urdimalas,urdimalas,9,1
urdimaças,urdimaças,9,1
sensatez,sensatez,8,1
doidivanas,doidivanas,10,1
córnico,córnico,7,1
completas,completas,9,1
agudez,agudez,6,1
múnus,múnus,5,1
bisso,bisso,5,1
andante,andante,7,1
invalidez,invalidez,9,1
lepes,lepes,5,1
lepidez,lepidez,7,1
fachis,fachis,6,1
liques,liques,6,1
subcontrárias,subcontrárias,13,1
dípsis,dípsis,6,1
patético,patético,8,1
andebol,andebol,7,1
maricas,maricas,7,1
tolitates,tolitates,9,1
choricas,choricas,8,1
carniano,carniano,8,1
aventurança,aventurança,11,1
abevillense,abevillense,11,1
posterior,posterior,9,1
choramingas,choramingas,11,1
bichancros,bichancros,10,1
lhanos,lhanos,6,1
gorovinhas,gorovinhas,10,1
intrepidez,intrepidez,10,1
choninhas,choninhas,9,1
segureza,segureza,8,1
engolideiras,engolideiras,12,1
uu,u,2,1
dl,dl,2,1
chinchafoles,chinchafoles,12,1
ligeirias,ligeirias,9,1
sarandalhos,sarandalhos,11,1
sarandalhas,sarandalhas,11,1
cousíssima,cousíssima,10,1
expensas,expensas,8,1
drias,drias,5,1
mariquinhas,mariquinhas,11,1
únguis,únguis,6,1
exéquias,exéquias,8,1
poples,poples,6,1
leneias,leneias,7,1
sentir,sentir,6,1
nossos,nossos,6,1
bitocles,bitocles,8,1
flux,flux,4,1
passamanes,passamanes,10,1
timing,timing,6,1
anais,anais,5,1
fortran,fortran,7,1
quinhentas,quinhentos,10,1
aguarrás,aguarrás,8,1
nicles,nicles,6,1
caranga,caranga,7,1
avessas,avessas,7,1
dizer,dizer,5,1
ardidez,ardidez,7,1
ónibus,ónibus,6,1
mique,mique,5,1
institutas,institutas,10,1
arâmico,arâmico,7,1
miosótis,miosótis,8,1
dêixis,dêixis,6,1
abertouras,abertouras,10,1
folk,folk,4,1
al,al,2,1
argomas,argomas,7,1
ónix,ónix,4,1
caráter,caráter,7,1
pax,pax,3,1
bus,bus,3,1
núpcias,núpcias,7,1
abanheém,abanheém,8,1
caaba,caaba,5,1
novíssimos,novíssimos,10,1
leves,leves,5,1
levez,levez,5,1
todo,todo,4,1
arbóis,arbóis,6,1
púbis,púbis,5,1
húmus,húmus,5,1
doping,doping,6,1
lingrinhas,lingrinhas,10,1
eng,eng,3,1
mas,mas,3,1
peanuts,peanuts,7,1
ténis,ténis,5,1
albuminémia,albuminémia,11,1
arábio,arábio,6,1
criptozóico,criptozóico,11,1
aridez,aridez,6,1
íbis,íbis,4,1
bis,bis,3,1
donuts,donuts,6,1
abc,abc,3,1
enfrontes,enfrontes,9,1
birrimiano,birrimiano,10,1
busílis,busílis,7,1
teus,teus,4,1
criptozóica,criptozóica,11,1
cachu,cachu,5,1
arábigo,arábigo,7,1
arábico,arábico,7,1
quermes,quermes,7,1
sáb,sáb,3,1
nunes,nunes,5,1
desamão,desamão,7,1
ânus,ânus,4,1
concanim,concanim,8,1
hindi,hindi,5,1
hinaiana,hinaiana,8,1
chavelhudo,chavelhudo,10,1
alacoques,alacoques,9,1
ónus,ónus,4,1
diáspora,diáspora,8,1
dispor,dispor,6,1
reps,reps,4,1
súbitas,súbitas,7,1
nigres,nigres,6,1
mirrastes,mirrastes,9,1
abertoiras,abertoiras,10,1
séc,séc,3,1
tistias,tistias,7,1
mm,m,2,1
útil,útil,4,1
pomes,pomes,5,1
self,self,4,1
limãozinho,limãozinho,10,1
gájaras,gájaras,7,1
arábias,arábias,7,1
nn,n,2,1
ultras,ultras,6,1
hiparcidez,hiparcidez,10,1
givetiano,givetiano,9,1
seltz,seltz,5,1
dous,dois,4,1
ainhum,ainhum,6,1
numerus,numerus,7,1
doutorais,doutorais,9,1
parêntesis,parêntesis,10,1
álios,álios,5,1
maravalhas,maravalhas,10,1
mílheras,mílheras,8,1
carranchas,carranchas,10,1
carranchinhas,carranchinhas,13,1
carrancholas,carrancholas,12,1
repes,repes,5,1
intertítulos,intertítulos,12,1
andantino,andantino,9,1
parassífilis,parassífilis,12,1
matias,matias,6,1
pelicanas,pelicanas,9,1
lic,lic,3,1
fórceps,fórceps,7,1
angelos,angelos,7,1
ancestrais,ancestrais,10,1
cicrano,cicrano,7,1
status,status,6,1
country,country,7,1
agropecuária,agropecuária,12,1
careliano,careliano,9,1
potrincas,potrincas,9,1
fagundes,fagundes,8,1
fluidez,fluidez,7,1
internetês,internetês,10,1
cabimento,cabimento,9,1
florais,florais,7,1
alcoolemia,alcoolemia,10,1
blau,blau,4,1
ss,s,2,1
ragtime,ragtime,7,1
modilho,modilho,7,1
ácie,ácie,4,1
cretáceo,cretáceo,8,1
leitras,leitras,7,1
génesis,génesis,7,1
cafeína,cafeína,7,1
obséquias,obséquias,9,1
modus,modus,5,1
arolas,arolas,6,1
litofácies,litofácies,10,1
vacaris,vacaris,7,1
caídos,caídos,6,1
grad,grad,4,1
engos,engos,5,1
ístmicos,ístmicos,8,1
açamoucado,açamoucado,10,1
go,go,2,1
melomania,melomania,9,2
março,março,5,2
martirologista,martirologista,14,2
merdice,merdice,7,2
maro,maro,4,2
melolontas,melolonta,10,2
martirologistas,martirologista,15,2
merdices,merdice,8,2
melomanias,melomania,10,2
merídio,merídio,7,2
melografias,melografia,11,2
melografia,melografia,10,2
merídios,merídio,8,2
merecimento,merecimento,11,2
melolonta,melolonta,9,2
maroiço,maroiço,7,2
mentalidade,mentalidade,11,2
mentideiros,mentideiro,11,2
mercurialização,mercurialização,15,2
mercurocromo,mercurocromo,12,2
melopeias,melopeia,9,2
melopeia,melopeia,8,2
melope,melope,6,2
melonites,melonite,9,2
martins,martim,7,2
martirizações,martirização,13,2
mentideiro,mentideiro,10,2
melonite,melonite,8,2
martirização,martirização,12,2
mercurocromos,mercurocromo,13,2
melomelias,melomelia,10,2
martirológio,martirológio,12,2
melofones,melofone,9,2
melomelia,melomelia,9,2
martirológios,martirológio,13,2
merecimentos,merecimento,12,2
martite,martite,7,2
meloais,meloal,7,2
meloa,meloa,5,2
marto,marto,5,2
melão,melão,5,2
melo,melo,4,2
melânias,melânia,8,2
melânia,melânia,7,2
meliturgias,meliturgia,11,2
martos,marto,6,2
merendico,merendico,9,2
meliturgia,meliturgia,10,2
marralharias,marralharia,12,2
marralharia,marralharia,11,2
melitúrias,melitúria,10,2
melopes,melope,7,2
meloal,meloal,6,2
meloas,meloa,6,2
melofone,melofone,8,2
meloeiros,meloeiro,9,2
martites,martite,8,2
martíni,martíni,7,2
meloeiro,meloeiro,8,2
melodramas,melodrama,10,2
melodrama,melodrama,9,2
melodistas,melodista,10,2
martínis,martíni,8,2
melodista,melodista,9,2
melodias,melodia,8,2
melodia,melodia,7,2
melocotão,melocotão,9,2
melocotões,melocotão,10,2
mentigem,mentigem,8,2
mercurializações,mercurialização,16,2
martinhos,martinho,9,2
martírio,martírio,8,2
memorando,memorando,9,2
mercúrio,mercúrio,8,2
mercúrios,mercúrio,9,2
memorações,memoração,10,2
mementos,memento,8,2
memento,memento,7,2
membruras,membrura,9,2
mercês,mercê,6,2
maroma,maroma,6,2
membrura,membrura,8,2
membros,membro,7,2
membro,membro,6,2
maroiços,maroiço,8,2
membrânulas,membrânula,11,2
membrânula,membrânula,10,2
mentastros,mentastro,10,2
memorandos,memorando,10,2
merchandisings,merchandising,14,2
martes,marte,6,2
memorialísticas,memorialística,15,2
memorialística,memorialística,14,2
mercerizações,mercerização,13,2
marracho,marracho,8,2
martenot,martenot,8,2
maromba,maromba,7,2
memorialistas,memorialista,13,2
martim,martim,6,2
memorialista,memorialista,12,2
memorial,memorial,8,2
memoriais,memorial,9,2
merces,merce,6,2
maromas,maroma,7,2
martenots,martenot,9,2
memoração,memoração,9,2
merchandising,merchandising,13,2
mercerização,mercerização,12,2
meloplastia,meloplastia,11,2
membranelas,membranela,11,2
marítimo,marítimo,8,2
melápios,melápio,8,2
melápio,melápio,7,2
melotes,melote,7,2
meloterapias,meloterapia,12,2
meloterapia,meloterapia,11,2
mercurialismo,mercurialismo,13,2
mentes,mente,6,2
melote,melote,6,2
marralhice,marralhice,10,2
melotas,melota,7,2
melota,melota,6,2
melos,melo,5,2
meloplastias,meloplastia,12,2
martinho,martinho,8,2
mercurialismos,mercurialismo,14,2
mente,mente,5,2
melquetrefe,melquetrefe,11,2
melquetrefes,melquetrefe,12,2
martinetes,martinete,10,2
membranas,membrana,9,2
mercuriais,mercurial,10,2
membrana,membrana,8,2
marítimos,marítimo,9,2
memactérions,memactérion,12,2
memactérion,memactérion,11,2
melusinas,melusina,9,2
membranela,membranela,10,2
melusina,melusina,8,2
melótropo,melótropo,9,2
martinete,martinete,9,2
melúrias,melúria,8,2
melriachos,melriacho,10,2
melriacho,melriacho,9,2
melúria,melúria,7,2
mercurial,mercurial,9,2
melótropos,melótropo,10,2
melitúria,melitúria,9,2
melitofilias,melitofilia,12,2
memoriões,memorião,9,2
meláfiro,meláfiro,8,2
melófagos,melófago,9,2
mentigos,mentigo,8,2
melófago,melófago,8,2
melões,melão,6,2
marracos,marraco,8,2
melenas,melena,7,2
melena,melena,6,2
mergansos,merganso,9,2
mergulha,mergulha,8,2
melódicas,melódica,9,2
melódica,melódica,8,2
marujinha,marujinha,9,2
melícias,melícia,8,2
marujinhas,marujinha,10,2
meláfiros,meláfiro,9,2
marujadas,marujada,9,2
melga,melga,5,2
melheirós,melheirós,9,2
melharucos,melharuco,10,2
melharuco,melharuco,9,2
melgueiras,melgueira,10,2
melgueira,melgueira,9,2
melgotão,melgotão,8,2
meretrizes,meretriz,10,2
marulhada,marulhada,9,2
melgotões,melgotão,9,2
melgoteiros,melgoteiro,11,2
merganso,merganso,8,2
marujada,marujada,8,2
melgoteiro,melgoteiro,10,2
marnoceiro,marnoceiro,10,2
melgas,melga,6,2
mentirola,mentirola,9,2
meretriz,meretriz,8,2
melícia,melícia,7,2
melcas,melca,6,2
melas,mela,5,2
melaços,melaço,7,2
mergulhão,mergulhão,9,2
mericarpo,mericarpo,9,2
melaço,melaço,6,2
melanurias,melanuria,10,2
melanuria,melanuria,9,2
mentigens,mentigem,9,2
melanúrias,melanúria,10,2
melanúria,melanúria,9,2
marrachos,marracho,9,2
melanoses,melanose,9,2
marupaúbas,marupaúba,10,2
melanose,melanose,8,2
marupás,marupá,7,2
melasma,melasma,7,2
melasmas,melasma,8,2
mergulhias,mergulhia,10,2
melasmo,melasmo,7,2
marulhadas,marulhada,10,2
marulho,marulho,7,2
melca,melca,5,2
melatrofias,melatrofia,11,2
melatrofia,melatrofia,10,2
melastomáceas,melastomácea,13,2
mergulhões,mergulhão,10,2
mergulhas,mergulha,9,2
marulhos,marulho,8,2
maruorana,maruorana,9,2
maruoranas,maruorana,10,2
marupá,marupá,6,2
marupaúba,marupaúba,9,2
melastomácea,melastomácea,12,2
marraco,marraco,7,2
melasmos,melasmo,8,2
mergulhia,mergulhia,9,2
melitos,melito,7,2
melheiróses,melheirós,11,2
maruim,maruim,6,2
marubá,marubá,6,2
merendona,merendona,9,2
merendonas,merendona,10,2
melindres,melindre,9,2
melindre,melindre,8,2
melindrabilidades,melindrabilidade,17,2
melindrabilidade,melindrabilidade,16,2
melilotos,meliloto,9,2
mentóis,mentol,7,2
merengue,merengue,8,2
marubás,marubá,7,2
meliloto,meliloto,8,2
melifluidades,melifluidade,13,2
melifluidade,melifluidade,12,2
melificação,melificação,11,2
melindro,melindro,8,2
melindros,melindro,9,2
melinite,melinite,8,2
melinites,melinite,9,2
melitofilia,melitofilia,11,2
melito,melito,6,2
melissografias,melissografia,14,2
melissografia,melissografia,13,2
merendicos,merendico,10,2
martírios,martírio,9,2
mentismo,mentismo,8,2
merengues,merengue,9,2
melissas,melissa,8,2
merendola,merendola,9,2
merendolas,merendola,10,2
melioristas,meliorista,11,2
maruí,maruí,5,2
meliorista,meliorista,10,2
meliorismos,meliorismo,11,2
meliorismo,meliorismo,10,2
melissa,melissa,7,2
maruins,maruim,7,2
marnotagens,marnotagem,11,2
marnotagem,marnotagem,10,2
marufos,marufo,7,2
mentirolas,mentirola,10,2
meretrícios,meretrício,11,2
meretrice,meretrice,9,2
melhorias,melhoria,9,2
marugem,marugem,7,2
melhoria,melhoria,8,2
melhores,melhor,8,2
melhoras,melhora,8,2
marugens,marugem,8,2
melhoramentos,melhoramento,13,2
meretrices,meretrice,10,2
melhoramento,melhoramento,12,2
melhora,melhora,7,2
melhor,melhor,6,2
marrafa,marrafa,7,2
meliana,meliana,7,2
marufo,marufo,6,2
melianas,meliana,8,2
melificadores,melificador,13,2
marufle,marufle,7,2
melificador,melificador,11,2
marnoceiros,marnoceiro,11,2
melidos,melido,7,2
melido,melido,6,2
melificações,melificação,12,2
melidas,melida,7,2
melida,melida,6,2
marrafas,marrafa,8,2
meretrício,meretrício,10,2
meliáceas,meliácea,9,2
meliácea,meliácea,8,2
meliantes,meliante,9,2
meliante,meliante,8,2
marufles,marufle,8,2
memorião,memorião,8,2
marteletes,martelete,10,2
memorista,memorista,9,2
menopausa,menopausa,9,2
menológios,menológio,10,2
mera,mera,4,2
menológio,menológio,9,2
marroquinaria,marroquinaria,13,2
marroquinarias,marroquinaria,14,2
meras,mera,5,2
mento,mento,5,2
menção,menção,6,2
menjengras,menjengra,10,2
menjengra,menjengra,9,2
menispermos,menispermo,11,2
menispermo,menispermo,10,2
menispermáceas,menispermácea,14,2
menopausas,menopausa,10,2
marouvazes,marouvaz,10,2
mequetrefes,mequetrefe,11,2
menores,menor,7,2
marquesados,marquesado,11,2
menoritas,menorita,9,2
menorita,menorita,8,2
menoristas,menorista,10,2
marroios,marroio,8,2
menorista,menorista,9,2
marrom,marrom,6,2
menoridades,menoridade,11,2
marrons,marrom,7,2
meote,meote,5,2
menoridade,menoridade,10,2
marroquim,marroquim,9,2
marquesado,marquesado,10,2
meotes,meote,6,2
